AREA_NAME,ECODE,A- ,A ,B ,C ,D ,E ,F ,G ,H ,I 
WALES,W92000004,788.8864,946.6637,1104.441,1262.218,1419.996,1735.55,2051.105,2366.659,2839.991,3313.323
Isle of Anglesey ,W06000001,765.0833,918.1,1071.117,1224.133,1377.15,1683.183,1989.217,2295.25,2754.3,3213.35
Gwynedd ,W06000002,849.9389,1019.927,1189.914,1359.902,1529.89,1869.866,2209.841,2549.817,3059.78,3569.743
Conwy ,W06000003,778.55,934.26,1089.97,1245.68,1401.39,1712.81,2024.23,2335.65,2802.78,3269.91
Denbighshire ,W06000004,826.2111,991.4534,1156.696,1321.938,1487.18,1817.664,2148.149,2478.633,2974.36,3470.087
Flintshire ,W06000005,775.2333,930.28,1085.327,1240.373,1395.42,1705.513,2015.607,2325.7,2790.84,3255.98
Wrexham ,W06000006,747.8055,897.3666,1046.928,1196.489,1346.05,1645.172,1944.294,2243.417,2692.1,3140.783
Powys ,W06000023,775.8772,931.0527,1086.228,1241.404,1396.579,1706.93,2017.281,2327.632,2793.158,3258.684
Ceredigion ,W06000008,784.8569,941.8283,1098.8,1255.771,1412.742,1726.685,2040.628,2354.571,2825.485,3296.399
Pembrokeshire ,W06000009,626.6118,751.9342,877.2566,1002.579,1127.901,1378.546,1629.191,1879.836,2255.803,2631.77
Carmarthenshire ,W06000010,797.1508,956.5809,1116.011,1275.441,1434.871,1753.732,2072.592,2391.452,2869.743,3348.033
Swansea ,W06000011,798.4858,958.1829,1117.88,1277.577,1437.274,1756.669,2076.063,2395.457,2874.549,3353.64
Neath Port Talbot ,W06000012,946.2023,1135.443,1324.683,1513.924,1703.164,2081.645,2460.126,2838.607,3406.328,3974.05
Bridgend ,W06000013,884.769,1061.723,1238.677,1415.63,1592.584,1946.492,2300.399,2654.307,3185.168,3716.03
Vale of Glamorgan ,W06000014,780.0021,936.0026,1092.003,1248.003,1404.004,1716.005,2028.006,2340.006,2808.008,3276.009
Rhondda Cynon Taf ,W06000016,891.0092,1069.211,1247.413,1425.615,1603.817,1960.22,2316.624,2673.028,3207.633,3742.239
Merthyr Tydfil ,W06000024,922.2523,1106.703,1291.153,1475.604,1660.054,2028.955,2397.856,2766.757,3320.108,3873.46
Caerphilly ,W06000018,695.7778,834.9333,974.0889,1113.244,1252.4,1530.711,1809.022,2087.333,2504.8,2922.267
Blaenau Gwent ,W06000019,974.439,1169.327,1364.214,1559.102,1753.99,2143.766,2533.541,2923.317,3507.98,4092.644
Torfaen ,W06000020,808.8994,970.6793,1132.459,1294.239,1456.019,1779.579,2103.138,2426.698,2912.038,3397.377
Monmouthshire ,W06000021,814.7167,977.66,1140.603,1303.547,1466.49,1792.377,2118.263,2444.15,2932.98,3421.81
Newport ,W06000022,690.0889,828.1067,966.1245,1104.142,1242.16,1518.196,1794.231,2070.267,2484.32,2898.373
Cardiff ,W06000015,733.291,879.9492,1026.607,1173.266,1319.924,1613.24,1906.557,2199.873,2639.848,3079.822
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
