GEOGRAPHY,BA_CODE,ECODE,AREA_NAME,BAND_A,BAND_B,BAND_C,BAND_D,BAND_E,BAND_F,BAND_G,BAND_H,BAND_I,ALL_PROPERTIES
ENGWAL,N/A,K04000001,ENGLAND AND WALES,"6,006,370","4,927,690","5,439,300","3,852,510","2,417,450","1,292,820","877,420","149,660","5,450","24,968,660"
NATL,N/A,E92000001,ENGLAND,"5,798,020","4,630,120","5,133,270","3,626,080","2,230,770","1,179,450","825,620","137,120",N/A,"23,560,440"
REGL,N/A,E12000001,NORTH EAST,"658,400","184,670","176,670","97,020","49,120","21,380","12,350","1,410",N/A,"1,201,030"
LAUA,1355,E06000047,County Durham UA,"143,470","30,650","29,140","20,040","9,800","3,780","2,070",260,N/A,"239,210"
LAUA,1350,E06000005,Darlington UA,"22,570","9,990","7,010","5,090","2,890","1,160",530,50,N/A,"49,290"
LAUA,0724,E06000001,Hartlepool UA,"24,010","7,160","5,950","3,080","1,580",610,430,60,N/A,"42,870"
LAUA,0734,E06000002,Middlesbrough UA,"33,020","10,200","10,570","4,770","1,950",670,470,50,N/A,"61,700"
LAUA,2935,E06000057,Northumberland UA,"70,290","23,380","18,990","15,360","10,070","6,410","3,930",510,N/A,"148,930"
LAUA,0728,E06000003,Redcar and Cleveland UA,"26,620","12,990","13,700","5,340","3,070",870,390,30,N/A,"63,000"
LAUA,0738,E06000004,Stockton-on-Tees UA,"34,970","16,100","15,320","9,290","5,270","2,140","1,280",120,N/A,"84,470"
CTYMET,N/A,E11000007,Tyne and Wear (Met County),"303,460","74,210","76,000","34,060","14,490","5,740","3,260",330,N/A,"511,560"
LAUA,4505,E08000037,Gateshead,"56,370","12,480","14,790","5,510","2,200",810,370,50,N/A,"92,560"
LAUA,4510,E08000021,Newcastle upon Tyne,"72,460","19,330","18,060","8,540","4,260","2,130","1,630",130,N/A,"126,530"
LAUA,4515,E08000022,North Tyneside,"49,710","15,140","18,550","7,410","3,300","1,100",340,40,N/A,"95,590"
LAUA,4520,E08000023,South Tyneside,"45,930","9,620","8,010","4,240","1,710",680,320,50,N/A,"70,570"
LAUA,4525,E08000024,Sunderland,"78,990","17,640","16,600","8,370","3,020","1,030",610,60,N/A,"126,320"
REGL,N/A,E12000002,NORTH WEST,"1,332,380","641,880","560,460","323,860","187,100","91,260","60,280","6,650",N/A,"3,203,860"
LAUA,2372,E06000008,Blackburn with Darwen UA,"35,340","9,200","8,300","4,230","2,000",770,560,70,N/A,"60,480"
LAUA,2373,E06000009,Blackpool UA,"31,840","20,770","11,210","4,590","1,820",550,250,30,N/A,"71,060"
LAUA,0660,E06000049,Cheshire East UA,"29,710","35,020","33,130","24,670","19,100","13,100","11,870","1,780",N/A,"168,370"
LAUA,0665,E06000050,Cheshire West and Chester UA,"32,810","35,660","29,790","20,240","15,320","9,120","7,280",570,N/A,"150,790"
LAUA,0650,E06000006,Halton UA,"26,080","11,910","7,790","4,760","3,410","1,070",370,40,N/A,"55,430"
LAUA,0655,E06000007,Warrington UA,"26,460","19,970","19,040","11,510","6,880","4,400","2,590",200,N/A,"91,050"
CTYMET,N/A,E10000006,Cumbria,"92,350","46,810","40,570","30,360","18,690","8,430","4,230",400,N/A,"241,840"
LAUA,0905,E07000026,Allerdale,"22,040","7,450","7,020","5,170","2,850","1,050",470,30,N/A,"46,060"
LAUA,0910,E07000027,Barrow-in-Furness,"19,770","5,440","4,640","2,300",970,240,70,10,N/A,"33,440"
